id,type,name,displayName,relProjectToPlatform,relProjectToApplication,relProjectToBusinessCapability,relProjectToProcess,businessValue,relToChild,relProjectToDataObject,relProjectToInterface,relProjectToITComponent,LevelofEffort,relProjectToObjective,tags:GD IT Teams,tags:Owned By,tags:Owning Function,tags:Business Domain,tags:Main Area,tags:Type of Work,tags:Business Unit,tags:LX PS WiP,tags:Project Phase,tags:Region,tags:Other tags,relProjectToTechnicalStack,relProjectToUserGroup
1205d6a4-b71e-4024-842b-0c74510d44a2,Project,IOPS - GLO Drawing Management System,IOPS - GLO Drawing Management System,,,IOPS Plant Management / Drawing Management,,marginalBusinessBenefit,,,,,,,,,,Tech Ops - Tik,IOPS,Project,,,2. Shape,Global,,,IOPS - QA
34a43518-8bc2-4f4a-a945-9a4742fd9a51,Project,IOPS - GLO E-validation System ValGenesis P2 (CSV),IOPS - GLO E-validation System ValGenesis P2 (CSV),,ValGenesis,IOPS Quality Assurance / Validation,,,,,,,Medium,,,,,QA - Rajesh,IOPS,Project,,,7. Execute,Global,,,IOPS - QA
40c46d79-7c2a-4c2d-90c4-494d7a1a8a2d,Project,IOPS - GLO EAMS Upgrade (Maximo),IOPS - GLO EAMS Upgrade (Maximo),,Blue Mountain Regulatory Asset Manager (BMRAM);Future State EAMS,IOPS Plant Management / Asset Accounting;IOPS Plant Management / Asset Location Tracking;IOPS Plant Management / Asset Management;IOPS Plant Management / Asset Performance;IOPS Plant Management / Calibration Management;IOPS Plant Management / Equipment Management;IOPS Plant Management / Inventory and Spare Parts Management;IOPS Plant Management / Plant Maintenance;IOPS Plant Management / Preventive Maintenance Scheduling;IOPS Plant Management / Work Order Management,,largeBusinessBenefit,Empty,,,,,Forward5 - Facility Modernization,,,,Tech Ops - Tik,IOPS,Project,,,2. Shape,Global,Digital Transformation,,0602 - Accounting;IOPS - Facilities
f08cb45c-3925-4e73-999a-828c196ea43a,Project,IOPS - GLO eForms (CAPA),IOPS - GLO eForms (CAPA),,OpsTrakker,IOPS Quality Assurance / Document Control,,,,,,,,,,,,QA - Rajesh,IOPS,,,,7. Execute,,Digital Transformation,,IOPS - QA
790a618c-860a-4879-acb0-42ebed082823,Project,IOPS - GLO eLearning Content Management System,IOPS - GLO eLearning Content Management System,,REGNU,IOPS Quality Assurance / Technical Training (Learning Management),,,,,,,,,,,,Tech Ops - Tik,IOPS,,,,,Global,,,IOPS - Tech Training
ec8566b6-5a80-4403-bf5e-a3948e83d02f,Project,IOPS - GLO Electronic Logbook Implementation Phase I,IOPS - GLO Electronic Logbook Implementation Phase I,,,IOPS Quality Assurance / Document Control,,,,,,,,,,,,QA - Rajesh,IOPS,,,,3. Prioritize,,,,
0a951a00-c123-4714-8f9a-45cf76c8f0fd,Project,IOPS - GLO Empower 3.8 LACe Cutover,IOPS - GLO Empower 3.8 LACe Cutover,,,IOPS Quality Control / Lab Chromatography,,,,,,,,,,,,QC - Fred,IOPS,,,,4. Roadmap (Approved),,,,
00945654-41bf-473c-aae6-2bac7e1711ee,Project,IOPS - GLO Empower 3.8 Upgrade,IOPS - GLO Empower 3.8 Upgrade,,Empower 3 FR4,IOPS Quality Control / Lab Chromatography,,littleBusinessBenefit,,,,,High,IOPS - Keep Existing Systems Operational (Lifecycle Upgrades),,,,QC - Fred,IOPS,Project,,,7. Execute,Global,,,IOPS - QC
4588894c-a303-40fe-8689-d1d6a5210cf8,Project,IOPS - GLO Enablon Platform Enhancements,IOPS - GLO Enablon Platform Enhancements,,,IOPS Plant Management / Environmental Health and Safety (EHS),,,,,,,,,,,,Tech Ops - Tik,IOPS,,,,,,,,
1026f059-d20b-4d50-8b10-a3a361b262d7,Project,IOPS - GLO Enhanced Controls for the Requisition of GxP Services (CAPA23-1680),IOPS - GLO Enhanced Controls for the Requisition of GxP Services (CAPA23-1680),,,IOPS Enterprise Support / Global Procurement,Add a new supplier to Approved Supplier List (ASL),significantBusinessBenefit,,,,,Medium,,,,,QA - Rajesh,IOPS,Project,,,6. Planning,,,,IOPS - QA
